Index,Timestamp (s),Peak Frequency (Hz),Potential Event
81,0.9404,2196.39,Ambient/Speech
82,0.9520,2971.58,Ambient/Speech
83,0.9636,1550.39,Ambient/Speech
84,0.9752,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
85,0.9868,301.46,LARGE EXPLOSION (Low Frequency)
86,0.9985,344.53,LARGE EXPLOSION (Low Frequency)
87,1.0101,301.46,LARGE EXPLOSION (Low Frequency)
88,1.0217,301.46,LARGE EXPLOSION (Low Frequency)
89,1.0333,301.46,LARGE EXPLOSION (Low Frequency)
90,1.0449,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
91,1.0565,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
92,1.0681,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
93,1.0797,258.40,LARGE EXPLOSION (Low Frequency)
94,1.0913,301.46,LARGE EXPLOSION (Low Frequency)
95,1.1029,301.46,LARGE EXPLOSION (Low Frequency)
96,1.1146,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
97,1.1262,2110.25,Ambient/Speech
98,1.1378,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
99,1.1494,301.46,LARGE EXPLOSION (Low Frequency)
100,1.1610,387.60,LARGE EXPLOSION (Low Frequency)
101,1.1726,344.53,LARGE EXPLOSION (Low Frequency)
102,1.1842,301.46,LARGE EXPLOSION (Low Frequency)
103,1.1958,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
104,1.2074,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
105,1.2190,301.46,LARGE EXPLOSION (Low Frequency)
106,1.2307,301.46,LARGE EXPLOSION (Low Frequency)
107,1.2423,1162.79,GUNSHOT (9mm/Rifle Spectral Peak)
108,1.2539,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
109,1.2655,301.46,LARGE EXPLOSION (Low Frequency)
110,1.2771,301.46,LARGE EXPLOSION (Low Frequency)
111,1.2887,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
112,1.3003,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
113,1.3119,473.73,Ambient/Speech
114,1.3235,301.46,LARGE EXPLOSION (Low Frequency)
115,1.3351,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
116,1.3468,473.73,Ambient/Speech
117,1.3584,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
118,1.3700,1162.79,GUNSHOT (9mm/Rifle Spectral Peak)
119,1.3816,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
120,1.3932,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
121,1.4048,1636.52,Ambient/Speech
122,1.4164,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
123,1.4280,473.73,Ambient/Speech
124,1.4396,301.46,LARGE EXPLOSION (Low Frequency)
125,1.4512,258.40,LARGE EXPLOSION (Low Frequency)
126,1.4629,1076.66,GUNSHOT (9mm/Rifle Spectral Peak)
127,1.4745,430.66,Ambient/Speech
128,1.4861,344.53,LARGE EXPLOSION (Low Frequency)
129,1.4977,258.40,LARGE EXPLOSION (Low Frequency)
130,1.5093,344.53,LARGE EXPLOSION (Low Frequency)
131,1.5209,215.33,LARGE EXPLOSION (Low Frequency)
132,1.5325,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
133,1.5441,1076.66,GUNSHOT (9mm/Rifle Spectral Peak)
134,1.5557,301.46,LARGE EXPLOSION (Low Frequency)
135,1.5673,344.53,LARGE EXPLOSION (Low Frequency)
136,1.5790,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
137,1.5906,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
138,1.6022,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
139,1.6138,473.73,Ambient/Speech
140,1.6254,258.40,LARGE EXPLOSION (Low Frequency)
141,1.6370,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
142,1.6486,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
143,1.6602,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
144,1.6718,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
145,1.6834,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
146,1.6951,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
147,1.7067,344.53,LARGE EXPLOSION (Low Frequency)
148,1.7183,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
149,1.7299,473.73,Ambient/Speech
150,1.7415,947.46,GUNSHOT (9mm/Rifle Spectral Peak)
151,1.7531,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
152,1.7647,387.60,LARGE EXPLOSION (Low Frequency)
153,1.7763,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
154,1.7879,430.66,Ambient/Speech
155,1.7995,387.60,LARGE EXPLOSION (Low Frequency)
156,1.8112,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
157,1.8228,430.66,Ambient/Speech
158,1.8344,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
159,1.8460,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
160,1.8576,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
161,1.8692,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
162,1.8808,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
163,1.8924,430.66,Ambient/Speech
164,1.9040,430.66,Ambient/Speech
165,1.9156,1076.66,GUNSHOT (9mm/Rifle Spectral Peak)
166,1.9273,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
167,1.9389,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
168,1.9505,430.66,Ambient/Speech
169,1.9621,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
170,1.9737,387.60,LARGE EXPLOSION (Low Frequency)
171,1.9853,387.60,LARGE EXPLOSION (Low Frequency)
