event_id,frame,landmark_index,x_px,y_px
5,baseline,25,220,383
5,baseline,26,164,358
5,baseline,27,260,496
5,baseline,28,85,492
5,baseline,29,-1,-1
5,baseline,30,-1,-1
5,baseline,31,-1,-1
5,baseline,32,-1,-1
5,onset,0,160,98
5,onset,1,162,107
5,onset,2,162,109
5,onset,3,165,112
5,onset,4,153,97
5,onset,5,151,95
5,onset,6,147,92
5,onset,7,153,156
5,onset,8,97,99
5,onset,9,154,109
5,onset,10,144,97
5,onset,11,145,215
5,onset,12,48,159
5,onset,13,200,332
5,onset,14,-20,196
5,onset,15,257,238
5,onset,16,94,170
5,onset,17,260,226
5,onset,18,132,154
5,onset,19,270,180
5,onset,20,138,128
5,onset,21,242,211
5,onset,22,122,126
5,onset,23,78,358
5,onset,24,28,351
5,onset,25,210,383
5,onset,26,164,358
5,onset,27,250,501
5,onset,28,78,491
5,onset,29,-1,-1
5,onset,30,-1,-1
5,onset,31,-1,-1
5,onset,32,-1,-1
5,peak,0,153,107
5,peak,1,153,119
5,peak,2,155,121
5,peak,3,157,122
5,peak,4,142,107
5,peak,5,141,105
5,peak,6,136,103
5,peak,7,139,168
5,peak,8,87,114
5,peak,9,148,119
5,peak,10,141,111
5,peak,11,147,219
5,peak,12,34,162
5,peak,13,194,341
5,peak,14,-14,203
5,peak,15,241,251
5,peak,16,85,179
5,peak,17,247,234
5,peak,18,128,165
5,peak,19,255,186
5,peak,20,133,147
5,peak,21,224,217
5,peak,22,117,140
5,peak,23,86,360
5,peak,24,30,350
5,peak,25,207,395
5,peak,26,142,366
5,peak,27,250,501
5,peak,28,78,491
5,peak,29,-1,-1
5,peak,30,-1,-1
5,peak,31,-1,-1
5,peak,32,-1,-1
6,baseline,0,149,107
6,baseline,1,-1,-1
6,baseline,2,-1,-1
6,baseline,3,-1,-1
6,baseline,4,-1,-1
6,baseline,5,-1,-1
6,baseline,6,-1,-1
6,baseline,7,134,170
6,baseline,8,82,113
6,baseline,9,-1,-1
6,baseline,10,-1,-1
6,baseline,11,141,221
6,baseline,12,29,163
6,baseline,13,182,351
6,baseline,14,-19,195
6,baseline,15,234,248
6,baseline,16,80,175
6,baseline,17,245,237
6,baseline,18,120,164
6,baseline,19,247,184
6,baseline,20,127,144
6,baseline,21,218,220
6,baseline,22,116,140
6,baseline,23,89,359
6,baseline,24,26,346
6,baseline,25,194,392
6,baseline,26,144,372
6,baseline,27,246,513
6,baseline,28,72,506
6,baseline,29,-1,-1
6,baseline,30,-1,-1
6,baseline,31,-1,-1
6,baseline,32,-1,-1
6,onset,0,156,108
6,onset,1,-1,-1
6,onset,2,-1,-1
6,onset,3,-1,-1
6,onset,4,-1,-1
6,onset,5,-1,-1
6,onset,6,-1,-1
6,onset,7,136,171
6,onset,8,88,112
6,onset,9,-1,-1
6,onset,10,-1,-1
6,onset,11,141,219
6,onset,12,26,158
6,onset,13,181,345
6,onset,14,-18,178
6,onset,15,236,263
6,onset,16,81,168
6,onset,17,246,240
6,onset,18,117,164
6,onset,19,248,192
6,onset,20,132,151
6,onset,21,215,224
6,onset,22,114,138
6,onset,23,90,355
6,onset,24,23,334
6,onset,25,194,392
6,onset,26,136,362
6,onset,27,246,513
6,onset,28,62,506
6,onset,29,-1,-1
6,onset,30,-1,-1
6,onset,31,-1,-1
6,onset,32,-1,-1
6,peak,0,156,108
6,peak,1,-1,-1
6,peak,2,-1,-1
6,peak,3,-1,-1
6,peak,4,-1,-1
6,peak,5,-1,-1
6,peak,6,-1,-1
6,peak,7,135,171
6,peak,8,88,112
6,peak,9,-1,-1
6,peak,10,-1,-1
6,peak,11,139,220
6,peak,12,26,154
6,peak,13,181,346
6,peak,14,-13,176
6,peak,15,234,264
6,peak,16,83,168
6,peak,17,244,240
6,peak,18,118,163
6,peak,19,248,190
6,peak,20,128,144
6,peak,21,214,224
6,peak,22,116,140
6,peak,23,84,354
6,peak,24,23,329
6,peak,25,188,378
6,peak,26,136,362
6,peak,27,246,513
6,peak,28,62,506
6,peak,29,-1,-1
6,peak,30,-1,-1
6,peak,31,-1,-1
6,peak,32,-1,-1
7,baseline,0,158,115
7,baseline,1,-1,-1
7,baseline,2,-1,-1
7,baseline,3,-1,-1
7,baseline,4,-1,-1
7,baseline,5,-1,-1
7,baseline,6,-1,-1
7,baseline,7,135,178
7,baseline,8,90,117
7,baseline,9,-1,-1
7,baseline,10,-1,-1
7,baseline,11,140,221
7,baseline,12,24,154
7,baseline,13,178,353
7,baseline,14,-9,172
7,baseline,15,238,268
7,baseline,16,81,168
7,baseline,17,244,249
7,baseline,18,118,164
7,baseline,19,251,198
7,baseline,20,134,154
7,baseline,21,215,230
7,baseline,22,122,139
7,baseline,23,83,352
7,baseline,24,19,329
7,baseline,25,185,386
7,baseline,26,123,361
7,baseline,27,245,525
7,baseline,28,65,502
7,baseline,29,-1,-1
7,baseline,30,-1,-1
7,baseline,31,-1,-1
7,baseline,32,-1,-1
7,onset,0,157,122
7,onset,1,-1,-1
7,onset,2,-1,-1
7,onset,3,-1,-1
7,onset,4,-1,-1
7,onset,5,-1,-1
7,onset,6,-1,-1
7,onset,7,125,185
7,onset,8,84,121
7,onset,9,-1,-1
7,onset,10,-1,-1
7,onset,11,136,224
7,onset,12,21,152
7,onset,13,173,346
7,onset,14,-14,163
7,onset,15,238,268
7,onset,16,81,168
7,onset,17,244,249
7,onset,18,118,164
7,onset,19,251,198
7,onset,20,134,154
7,onset,21,214,240
7,onset,22,122,139
7,onset,23,84,352
7,onset,24,17,327
7,onset,25,183,390
7,onset,26,123,375
7,onset,27,228,548
7,onset,28,54,513
7,onset,29,-1,-1
7,onset,30,-1,-1
7,onset,31,-1,-1
7,onset,32,-1,-1
7,peak,0,157,122
7,peak,1,-1,-1
7,peak,2,-1,-1
7,peak,3,-1,-1
7,peak,4,-1,-1
7,peak,5,-1,-1
7,peak,6,-1,-1
7,peak,7,125,185
7,peak,8,84,121
7,peak,9,-1,-1
7,peak,10,-1,-1
7,peak,11,136,224
7,peak,12,21,152
7,peak,13,173,346
7,peak,14,-14,163
7,peak,15,229,278
7,peak,16,81,168
7,peak,17,240,255
7,peak,18,118,164
7,peak,19,247,207
7,peak,20,134,154
7,peak,21,212,238
7,peak,22,122,139
7,peak,23,84,352
7,peak,24,17,327
7,peak,25,183,390
7,peak,26,123,375
7,peak,27,228,548
7,peak,28,54,513
7,peak,29,-1,-1
7,peak,30,-1,-1
7,peak,31,-1,-1
7,peak,32,-1,-1
8,baseline,0,166,127
8,baseline,1,-1,-1
8,baseline,2,-1,-1
8,baseline,3,-1,-1
8,baseline,4,-1,-1
8,baseline,5,-1,-1
8,baseline,6,-1,-1
8,baseline,7,145,190
8,baseline,8,99,128
8,baseline,9,-1,-1
8,baseline,10,-1,-1
8,baseline,11,132,232
8,baseline,12,26,151
8,baseline,13,171,354
8,baseline,14,-14,163
8,baseline,15,234,284
8,baseline,16,81,168
8,baseline,17,246,259
8,baseline,18,118,164
8,baseline,19,253,214
8,baseline,20,134,154
8,baseline,21,218,240
8,baseline,22,122,139
8,baseline,23,86,351
8,baseline,24,20,326
8,baseline,25,183,390
8,baseline,26,123,375
8,baseline,27,228,548
8,baseline,28,54,513
8,baseline,29,-1,-1
8,baseline,30,-1,-1
8,baseline,31,-1,-1
8,baseline,32,-1,-1
8,onset,0,173,136
8,onset,1,-1,-1
8,onset,2,-1,-1
8,onset,3,-1,-1
8,onset,4,-1,-1
