event_id,frame,landmark_index,x_px,y_px
3,peak,17,352,286
3,peak,18,252,153
3,peak,19,355,272
3,peak,20,244,137
3,peak,21,343,272
3,peak,22,235,141
3,peak,23,157,381
3,peak,24,87,357
3,peak,25,268,400
3,peak,26,206,393
3,peak,27,216,541
3,peak,28,157,554
3,peak,29,187,557
3,peak,30,146,579
3,peak,31,236,581
3,peak,32,192,593
4,baseline,0,251,110
4,baseline,1,257,107
4,baseline,2,257,111
4,baseline,3,258,113
4,baseline,4,251,94
4,baseline,5,246,89
4,baseline,6,240,84
4,baseline,7,251,121
4,baseline,8,211,81
4,baseline,9,239,123
4,baseline,10,230,109
4,baseline,11,226,187
4,baseline,12,135,94
4,baseline,13,256,302
4,baseline,14,96,160
4,baseline,15,330,234
4,baseline,16,213,119
4,baseline,17,355,217
4,baseline,18,241,106
4,baseline,19,354,203
4,baseline,20,231,93
4,baseline,21,342,206
4,baseline,22,219,97
4,baseline,23,145,336
4,baseline,24,93,301
4,baseline,25,277,429
4,baseline,26,249,330
4,baseline,27,144,464
4,baseline,28,269,492
4,baseline,29,117,437
4,baseline,30,248,523
4,baseline,31,131,478
4,baseline,32,348,480
4,onset,0,241,102
4,onset,1,249,100
4,onset,2,250,104
4,onset,3,250,107
4,onset,4,239,84
4,onset,5,232,77
4,onset,6,224,72
4,onset,7,242,112
4,onset,8,200,73
4,onset,9,229,115
4,onset,10,212,96
4,onset,11,220,184
4,onset,12,129,90
4,onset,13,254,297
4,onset,14,88,153
4,onset,15,327,227
4,onset,16,208,119
4,onset,17,351,212
4,onset,18,236,104
4,onset,19,349,196
4,onset,20,226,91
4,onset,21,339,199
4,onset,22,215,96
4,onset,23,140,332
4,onset,24,90,298
4,onset,25,276,415
4,onset,26,247,325
4,onset,27,150,474
4,onset,28,256,483
4,onset,29,127,473
4,onset,30,235,511
4,onset,31,142,493
4,onset,32,321,503
4,peak,0,229,93
4,peak,1,240,92
4,peak,2,242,97
4,peak,3,243,100
4,peak,4,226,75
4,peak,5,217,69
4,peak,6,208,64
4,peak,7,235,105
4,peak,8,188,67
4,peak,9,220,109
4,peak,10,200,89
4,peak,11,213,179
4,peak,12,122,89
4,peak,13,253,294
4,peak,14,80,154
4,peak,15,324,224
4,peak,16,204,118
4,peak,17,348,210
4,peak,18,229,101
4,peak,19,346,194
4,peak,20,217,87
4,peak,21,336,196
4,peak,22,208,92
4,peak,23,136,332
4,peak,24,86,298
4,peak,25,271,414
4,peak,26,247,326
4,peak,27,178,498
4,peak,28,203,492
4,peak,29,157,517
4,peak,30,176,519
4,peak,31,186,523
4,peak,32,245,513
5,baseline,0,134,110
5,baseline,1,151,110
5,baseline,2,157,114
5,baseline,3,160,116
5,baseline,4,134,101
5,baseline,5,129,98
5,baseline,6,126,96
5,baseline,7,154,123
5,baseline,8,119,105
5,baseline,9,144,125
5,baseline,10,117,117
5,baseline,11,156,210
5,baseline,12,58,158
5,baseline,13,197,313
5,baseline,14,14,209
5,baseline,15,256,234
5,baseline,16,112,156
5,baseline,17,271,217
5,baseline,18,131,145
5,baseline,19,270,202
5,baseline,20,125,131
5,baseline,21,262,209
5,baseline,22,119,136
5,baseline,23,87,351
5,baseline,24,39,335
5,baseline,25,193,386
5,baseline,26,188,345
5,baseline,27,153,514
5,baseline,28,163,500
5,baseline,29,141,539
5,baseline,30,140,531
5,baseline,31,182,533
5,baseline,32,211,531
5,onset,0,141,115
5,onset,1,150,111
5,onset,2,153,114
5,onset,3,156,116
5,onset,4,135,103
5,onset,5,129,101
5,onset,6,123,101
5,onset,7,149,126
5,onset,8,111,111
5,onset,9,144,131
5,onset,10,121,122
5,onset,11,145,215
5,onset,12,48,159
5,onset,13,191,319
5,onset,14,8,221
5,onset,15,250,236
5,onset,16,100,161
5,onset,17,267,219
5,onset,18,120,151
5,onset,19,265,206
5,onset,20,115,136
5,onset,21,256,213
5,onset,22,110,141
5,onset,23,78,358
5,onset,24,28,351
5,onset,25,193,411
5,onset,26,192,346
5,onset,27,124,510
5,onset,28,219,492
5,onset,29,105,536
5,onset,30,213,530
5,onset,31,138,529
5,onset,32,299,503
5,peak,0,134,127
5,peak,1,141,119
5,peak,2,144,121
5,peak,3,146,122
5,peak,4,128,112
5,peak,5,121,111
5,peak,6,115,112
5,peak,7,139,136
5,peak,8,101,123
5,peak,9,136,142
5,peak,10,118,130
5,peak,11,147,219
5,peak,12,34,162
5,peak,13,185,328
5,peak,14,-13,237
5,peak,15,241,244
5,peak,16,93,171
5,peak,17,255,226
5,peak,18,112,158
5,peak,19,252,212
5,peak,20,108,143
5,peak,21,242,220
5,peak,22,103,148
5,peak,23,86,360
5,peak,24,30,350
5,peak,25,192,392
5,peak,26,137,376
5,peak,27,225,525
5,peak,28,149,542
5,peak,29,216,551
5,peak,30,143,561
5,peak,31,288,538
5,peak,32,192,584
6,baseline,0,136,125
6,baseline,1,140,119
6,baseline,2,142,121
6,baseline,3,143,123
6,baseline,4,128,112
6,baseline,5,120,111
6,baseline,6,113,111
6,baseline,7,134,137
6,baseline,8,99,122
6,baseline,9,134,139
6,baseline,10,118,128
6,baseline,11,141,221
6,baseline,12,29,163
6,baseline,13,179,329
6,baseline,14,-19,234
6,baseline,15,237,248
6,baseline,16,83,169
6,baseline,17,250,228
6,baseline,18,104,157
6,baseline,19,245,215
6,baseline,20,102,140
6,baseline,21,235,223
6,baseline,22,95,145
6,baseline,23,89,359
6,baseline,24,26,346
6,baseline,25,192,389
6,baseline,26,113,380
6,baseline,27,238,523
6,baseline,28,146,543
6,baseline,29,229,549
6,baseline,30,139,566
6,baseline,31,301,515
6,baseline,32,198,587
6,onset,0,140,127
6,onset,1,145,121
6,onset,2,146,124
6,onset,3,147,126
6,onset,4,134,115
6,onset,5,128,113
6,onset,6,121,112
6,onset,7,137,139
6,onset,8,105,120
6,onset,9,135,140
6,onset,10,120,131
6,onset,11,141,219
6,onset,12,26,158
6,onset,13,171,327
6,onset,14,-12,233
6,onset,15,234,252
6,onset,16,91,164
6,onset,17,247,231
6,onset,18,112,153
6,onset,19,243,220
6,onset,20,108,139
6,onset,21,234,227
6,onset,22,102,144
6,onset,23,90,355
6,onset,24,23,334
6,onset,25,188,383
6,onset,26,134,361
6,onset,27,210,527
6,onset,28,99,530
6,onset,29,198,555
6,onset,30,82,561
6,onset,31,244,543
6,onset,32,120,567
6,peak,0,143,134
6,peak,1,147,128
6,peak,2,148,130
6,peak,3,148,133
6,peak,4,138,121
6,peak,5,132,118
6,peak,6,126,116
6,peak,7,137,143
6,peak,8,108,120
6,peak,9,137,147
6,peak,10,123,138
6,peak,11,139,220
6,peak,12,26,154
6,peak,13,170,328
6,peak,14,-11,230
6,peak,15,233,254
6,peak,16,90,164
6,peak,17,245,233
6,peak,18,112,153
6,peak,19,243,222
6,peak,20,110,137
6,peak,21,234,228
6,peak,22,103,143
6,peak,23,84,354
6,peak,24,23,329
6,peak,25,188,376
6,peak,26,135,351
6,peak,27,236,528
6,peak,28,67,505
6,peak,29,219,544
6,peak,30,35,510
6,peak,31,292,522
6,peak,32,87,564
7,baseline,0,143,137
7,baseline,1,148,131
7,baseline,2,149,133
7,baseline,3,150,135
7,baseline,4,138,124
7,baseline,5,132,122
7,baseline,6,125,120
7,baseline,7,140,144
7,baseline,8,109,123
7,baseline,9,136,149
7,baseline,10,123,139
7,baseline,11,140,221
7,baseline,12,24,154
7,baseline,13,168,328
7,baseline,14,-10,222
7,baseline,15,231,262
7,baseline,16,92,161
7,baseline,17,244,240
7,baseline,18,114,149
7,baseline,19,242,229
7,baseline,20,110,136
7,baseline,21,232,235
7,baseline,22,103,142
7,baseline,23,83,352
7,baseline,24,19,329
7,baseline,25,186,378
7,baseline,26,111,341
7,baseline,27,245,525
7,baseline,28,65,502
7,baseline,29,235,551
7,baseline,30,45,517
7,baseline,31,301,533
7,baseline,32,88,558
7,onset,0,143,146
7,onset,1,149,141
7,onset,2,150,144
7,onset,3,150,147
7,onset,4,139,134
7,onset,5,133,131
7,onset,6,127,128
7,onset,7,141,153
7,onset,8,110,128
7,onset,9,136,159
7,onset,10,123,146
7,onset,11,136,224
7,onset,12,21,152
7,onset,13,166,334
7,onset,14,-9,207
7,onset,15,225,274
7,onset,16,95,156
7,onset,17,241,252
7,onset,18,117,149
7,onset,19,238,241
7,onset,20,113,137
7,onset,21,228,247
7,onset,22,107,141
7,onset,23,84,352
7,onset,24,17,327
7,onset,25,183,390
7,onset,26,70,353
7,onset,27,228,548
7,onset,28,51,530
7,onset,29,213,575
7,onset,30,41,550
7,onset,31,295,581
7,onset,32,68,583
7,peak,0,143,146
7,peak,1,149,141
7,peak,2,150,144
7,peak,3,150,147
7,peak,4,139,134
7,peak,5,133,131
7,peak,6,127,128
7,peak,7,141,153
7,peak,8,110,128
7,peak,9,136,159
7,peak,10,123,146
7,peak,11,136,224
7,peak,12,21,152
7,peak,13,166,334
7,peak,14,-9,207
7,peak,15,225,274
7,peak,16,95,156
7,peak,17,241,252
7,peak,18,117,149
7,peak,19,238,241
7,peak,20,113,137
7,peak,21,228,247
7,peak,22,107,141
7,peak,23,84,352
7,peak,24,17,327
7,peak,25,183,390
7,peak,26,70,353
7,peak,27,228,548
7,peak,28,51,530
7,peak,29,213,575
7,peak,30,41,550
7,peak,31,295,581
7,peak,32,68,583
8,baseline,0,142,154
8,baseline,1,149,151
8,baseline,2,150,154
8,baseline,3,151,156
8,baseline,4,140,143
8,baseline,5,134,140
8,baseline,6,127,137
8,baseline,7,142,165
8,baseline,8,111,137
8,baseline,9,136,167
8,baseline,10,124,153
8,baseline,11,132,232
8,baseline,12,26,151
8,baseline,13,170,336
8,baseline,14,-7,186
8,baseline,15,230,277
8,baseline,16,95,157
8,baseline,17,245,255
8,baseline,18,119,151
8,baseline,19,242,247
8,baseline,20,115,148
8,baseline,21,233,254
8,baseline,22,107,151
8,baseline,23,86,351
8,baseline,24,20,326
8,baseline,25,184,396
8,baseline,26,85,368
8,baseline,27,230,541
8,baseline,28,70,530
8,baseline,29,218,567
8,baseline,30,56,552
8,baseline,31,279,572
8,baseline,32,93,582
8,onset,0,115,154
8,onset,1,116,149
8,onset,2,118,150
8,onset,3,120,152
8,onset,4,116,150
8,onset,5,80,148
8,onset,6,83,147
8,onset,7,117,162
8,onset,8,89,146
8,onset,9,115,168
8,onset,10,105,163
8,onset,11,127,243
8,onset,12,27,164
8,onset,13,171,343
8,onset,14,28,167
8,onset,15,232,290
8,onset,16,103,157
8,onset,17,248,267
8,onset,18,125,151
8,onset,19,244,259
8,onset,20,123,150
8,onset,21,235,267
8,onset,22,116,154
8,onset,23,86,365
8,onset,24,20,331
8,onset,25,188,413
8,onset,26,81,365
8,onset,27,228,540
8,onset,28,64,528
8,onset,29,219,566
8,onset,30,53,549
8,onset,31,266,570
8,onset,32,79,577
8,peak,0,115,154
8,peak,1,116,149
8,peak,2,118,150
8,peak,3,120,152
8,peak,4,116,150
8,peak,5,80,148
8,peak,6,83,147
8,peak,7,117,162
8,peak,8,89,146
8,peak,9,115,168
8,peak,10,105,163
8,peak,11,127,243
8,peak,12,27,164
8,peak,13,171,343
8,peak,14,28,167
8,peak,15,232,290
8,peak,16,103,157
8,peak,17,248,267
8,peak,18,125,151
8,peak,19,244,259
8,peak,20,123,150
8,peak,21,235,267
8,peak,22,116,154
8,peak,23,86,365
8,peak,24,20,331
8,peak,25,188,413
8,peak,26,81,365
8,peak,27,228,540
8,peak,28,64,528
8,peak,29,219,566
8,peak,30,53,549
8,peak,31,266,570
8,peak,32,79,577
